                   DIRECTORY |                           leoiii |                         satallax |      cvc4-hoelim-fmf-storeax-agg |                         cvc4-fmf |
                   BENCHMARK |  STAT  RES EXIT CPU[s] SPACE[MB] |  STAT  RES EXIT CPU[s] SPACE[MB] |  STAT  RES EXIT CPU[s] SPACE[MB] |  STAT  RES EXIT CPU[s] SPACE[MB] |
     th0-lamb/SET-SET144^5.p |    di   20    0   7.61     414.8 |    di   20    0    0.0       0.0 |    di   10    0    0.0       0.0 |    di   20    0    0.0       0.0 |
     th0-lamb/SET-SET162^5.p |    di   20    0   2.69     178.7 |    di   20    0    0.0       0.0 |    di   10    0    0.0       0.0 |    di   20    0    0.0       0.0 |
     th0-lamb/SET-SET173^5.p |    di   20    0   3.69     255.7 |    di   20    0    0.0       0.0 |    di   10    0    0.0       0.0 |    di   20    0    0.0       0.0 |
     th0-lamb/SET-SET175^5.p |    di   20    0    4.9     297.6 |    di   20    0    0.0       0.0 |    di   10    0    0.0       0.0 |    di   20    0    0.0       0.0 |
     th0-lamb/SET-SET183^5.p |    di   20    0   4.86     314.5 |    di   20    0    0.0       0.0 |    di   10    0    0.0       0.0 |    di   20    0    0.0       0.0 |
     th0-lamb/SET-SET582^5.p |    di   20    0    8.1     393.5 |    di   20    0    0.0       0.0 |    di   10    0    0.0       0.0 |    di   20    0    0.0       0.0 |
     th0-lamb/SET-SET592^5.p |    di   20    0   5.81     335.0 |    di   20    0    0.0       0.0 |    di   10    0    0.0       0.0 |    di   20    0    0.0       0.0 |
     th0-lamb/SET-SET594^5.p |    di   20    0   4.65     280.0 |    di   20    0    0.0       0.0 |    di   10    0    0.0       0.0 |    di   20    0    0.0       0.0 |
     th0-lamb/SET-SET595^5.p |    di   20    0   4.76     317.9 |    di   20    0    0.0       0.0 |    di   10    0    0.0       0.0 |    di   20    0    0.0       0.0 |
     th0-lamb/SET-SET596^5.p |    di   20    0   7.15     381.9 |    di   20    0    0.0       0.0 |    di   10    0    0.0       0.0 |    di   20    0    0.0       0.0 |
     th0-lamb/SET-SET597^5.p |    di    -    2  60.03    1295.7 |    di   20    0   7.85     141.4 |    di   10    0    0.0       0.0 |    di   30    0    0.0       0.0 |
     th0-lamb/SET-SET598^5.p |    di    -    2  60.05    1954.1 |    di   20    0   7.84     113.5 |    di   10    0    0.0       0.0 |    di   30    0    0.0       0.0 |
     th0-lamb/SET-SET600^5.p |    di   20    0   4.88     314.9 |    di   20    0    0.0       0.0 |    di   10    0    0.0       0.0 |    di   20    0    0.0       0.0 |
     th0-lamb/SET-SET603^5.p |    di   20    0   2.93     177.2 |    di   20    0    0.0       0.0 |    di   10    0    0.0       0.0 |    di   20    0    0.0       0.0 |
     th0-lamb/SET-SET608^5.p |    di   20    0   4.76     311.8 |    di   20    0    0.0       0.0 |    di   10    0    0.0       0.0 |    di   20    0    0.0       0.0 |
     th0-lamb/SET-SET611^3.p |    di   20    0  11.72     438.2 |    di   20    0    0.0       0.0 |    di   10    0    0.0       0.0 |    di   20    0    0.0       0.0 |
     th0-lamb/SET-SET611^5.p |    di   20    0  11.16     427.2 |    di   20    0    0.0       0.0 |    di   10    0    0.0       0.0 |    di   20    0    0.0       0.0 |
     th0-lamb/SET-SET616^5.p |    di   20    0   6.11     350.9 |    di   20    0    0.0       0.0 |    di   10    0    0.0       0.0 |    di   20    0    0.0       0.0 |
     th0-lamb/SET-SET636^5.p |    di   20    0  11.41     423.1 |    di   20    0    0.0       0.0 |    di   10    0    0.0       0.0 |    di   20    0    0.0       0.0 |
     th0-lamb/SET-SET638^5.p |    di   20    0   4.68     416.1 |    di   20    0    0.0       0.0 |    di   10    0    0.0       0.0 |    di   20    0    0.0       0.0 |
     th0-lamb/SET-SET669^3.p |    di   20    0   6.01     385.4 |    di   20    0    0.0       0.0 |    di   10    0    0.0       0.0 |    di   20    0    0.0       0.0 |
     th0-lamb/SET-SET671^3.p |    di   20    0   6.94     518.9 |    di   20    0    0.0       0.0 |    di   10    0    0.0       0.0 |    di   20    0    0.0       0.0 |
     th0-lamb/SET-SET673^3.p |    di   20    0   7.05     383.4 |    di   20    0    0.0       0.0 |    di   10    0    0.0       0.0 |    di   20    0    0.0       0.0 |
     th0-lamb/SET-SET724^4.p |    di   20    0   6.69     451.8 |    di   20    0   0.88      50.4 |    di   10    0  31.98      28.9 |    di   20    0    0.0       0.0 |
     th0-lamb/SET-SET752^4.p |    di   20    0  26.42     760.2 |    di   20    0    0.0       0.0 |    di   10    0    0.0       0.0 |    di   20    0    0.0       0.0 |
     th0-lamb/SEU-SEU831^5.p |    di   20    0   3.18     189.0 |    di   20    0    0.0       0.0 |    di   10    0    0.0       0.0 |    di   20    0    0.0       0.0 |
     th0-lamb/SEU-SEU832^5.p |    di   20    0   2.91     149.1 |    di   20    0    0.0       0.0 |    di   10    0    0.0       0.0 |    di   20    0    0.0       0.0 |
     th0-lamb/SEU-SEU843^5.p |    di   20    0   4.43     262.2 |    di   20    0    0.0       0.0 |    di   10    0    0.0       0.0 |    di   20    0    0.0       0.0 |
